beam,family,order,z_m,r_rms_m,d_4sigma_m,centroid_x_m,centroid_y_m,total_power
LG01,LG,1,0.0,0.025,0.07071067811865477,-1.7074171364164853e-21,-1.110223024625157e-18,0.9999999999999999
LG01,LG,1,62.5,0.025005071066585213,0.07072502126093577,-2.9669208497369718e-18,-1.1102230246251568e-18,1.0
LG01,LG,1,125.0,0.025020278099571705,0.07076803324552167,-5.22769458014769e-18,-5.551115123125783e-18,1.0
LG01,LG,1,187.5,0.02504560264464796,0.0708396618757372,-1.1792445854572341e-17,-9.99200722162641e-18,1.0
LG01,LG,1,250.0,0.025081014028934905,0.07093982039557922,-1.44968753794891e-17,-1.1102230246251566e-17,1.0
LG01,LG,1,312.5,0.025126469751716184,0.07106838859486873,-3.26590288786998e-17,-2.886579864025407e-17,1.0
LG01,LG,1,375.0,0.025181915084726714,0.0712252116786963,-4.00262041019398e-17,-3.885780586188048e-17,1.0
LG01,LG,1,437.5,0.025247284710031567,0.07141010490004304,-1.9978237500708714e-17,-1.8873791418627666e-17,1.0
LG01,LG,1,500.0,0.025322501039165078,0.0716228488055881,-5.125388805059334e-17,-4.8849813083506894e-17,1.0
LG01,LG,1,562.5,0.025407477564117896,0.07186319871373131,-6.60320542789357e-17,-6.439293542825909e-17,1.0
LG01,LG,1,625.0,0.025502116161911514,0.07213087709077873,-1.2263938287566862e-16,-1.1879386363489176e-16,1.0
LG01,LG,1,687.5,0.025606309131885847,0.072425579313262,-2.1197948436711422e-16,-2.0872192862952944e-16,1.0
LG01,LG,1,750.0,0.02571994147228052,0.07274698010708269,-1.5391386630266028e-16,-1.5099033134902132e-16,1.0
LG01,LG,1,812.5,0.025842887651257626,0.07309472441458544,-1.9743476660634614e-16,-1.9539925233402758e-16,1.0
LG01,LG,1,875.0,0.025975017630745945,0.07346844443256235,-7.225716067330402e-17,-7.327471962526035e-17,1.0
LG01,LG,1,937.5,0.026116187671096032,0.07386773360389005,-4.520172348822811e-16,-4.507505479978136e-16,1.0
LG01,LG,1,1000.0,0.02626625659499351,0.07429219261882315,-1.947939629207919e-16,-1.9317880628477726e-16,1.0
LG02,LG,2,0.0,0.03061862178478973,0.08660254037844388,1.7527253727525269e-19,2.2204460492503135e-18,1.0
LG02,LG,2,62.5,0.030624832545896315,0.08662010706362307,-3.557153570945175e-18,0.0,1.0
LG02,LG,2,125.0,0.030643457276501293,0.08667278575685727,-4.643758267806346e-18,0.0,1.0000000000000004
LG02,LG,2,187.5,0.030674473399969645,0.08676051260177964,-1.3553274352452026e-17,-1.1102230246251563e-17,1.0000000000000002
LG02,LG,2,250.0,0.030717843274342047,0.08688318113085138,-1.1713668961519991e-17,-6.661338147750939e-18,1.0000000000000002
LG02,LG,2,312.5,0.03077351490852044,0.0870406442910405,-1.9839628841036433e-17,-1.665334536937735e-17,1.0
LG02,LG,2,375.0,0.03084142139172219,0.08723271283007444,-4.6097417819866404e-17,-4.329869796038111e-17,1.0
LG02,LG,2,437.5,0.030921482412202782,0.08745915959203661,-3.2209766023867946e-17,-2.9976021664879216e-17,1.0000000000000004
LG02,LG,2,500.0,0.0310136031719657,0.08771971644770227,-3.8885144511997604e-17,-3.5527136788005016e-17,1.0
LG02,LG,2,562.5,0.03111767797110835,0.08801408443259985,-6.176946756237215e-17,-5.884182030513331e-17,1.0
LG02,LG,2,625.0,0.031233585757957937,0.08834192116089452,-7.385363337550438e-17,-7.216449660063514e-17,1.0000000000000004
LG02,LG,2,687.5,0.03136119591509244,0.08870285719072687,-1.2345088689360142e-16,-1.199040866595169e-16,1.0000000000000002
LG02,LG,2,750.0,0.03150036656686866,0.08909649123717935,-1.7557094770931425e-16,-1.720845688168992e-16,1.0000000000000004
LG02,LG,2,812.5,0.03165094439556644,0.08952238965225354,-1.239713343270102e-16,-1.2323475573339239e-16,1.0
LG02,LG,2,875.0,0.031812769421611854,0.08998009994538314,-1.1833846019237492e-16,-1.1546319456101628e-16,1.0
LG02,LG,2,937.5,0.031985667965523865,0.09046913087681299,-4.287802669027612e-16,-4.25215418431435e-16,1.0
LG02,LG,2,1000.0,0.032169462644449025,0.09098898073206893,-1.484295163595732e-16,-1.4543921622589554e-16,1.0
LG03,LG,3,0.0,0.03535533905932738,0.10000000000000002,-5.84898123541925e-20,0.0,0.9999999999999999
LG03,LG,3,62.5,0.03536251062874197,0.10002028426145924,-3.712413314826593e-18,2.220446049250314e-18,0.9999999999999999
LG03,LG,3,125.0,0.03538401661586137,0.10008111237877221,-6.389012522258925e-18,-4.440892098500627e-18,1.0
LG03,LG,3,187.5,0.0354198309566769,0.10018241063178973,-9.074733806659155e-18,-4.440892098500627e-18,1.0
LG03,LG,3,250.0,0.035469910170258606,0.1003240560378702,-1.4716025740662175e-17,-1.1102230246251566e-17,1.0
LG03,LG,3,312.5,0.03553419422378791,0.10050587879856113,-1.411029644104855e-17,-1.3322676295501883e-17,0.9999999999999999
LG03,LG,3,375.0,0.03561260591417408,0.10072766055054658,-2.5731277097643664e-17,-2.2204460492503132e-17,1.0
LG03,LG,3,437.5,0.0357050523130972,0.10098913845284584,-2.948583600448949e-17,-2.4424906541753447e-17,1.0
LG03,LG,3,500.0,0.03581142429372023,0.10129000384815298,-4.962434189851597e-17,-4.4408920985006264e-17,1.0
LG03,LG,3,562.5,0.03593159930496579,0.1016299101096766,-4.080812390600299e-17,-3.5527136788005016e-17,1.0
LG03,LG,3,625.0,0.03606543825514286,0.10200846382670499,-5.201058681999477e-17,-4.662936703425658e-17,1.0
LG03,LG,3,687.5,0.03621278980411383,0.10242523694468784,-4.3452485742049355e-17,-3.996802888650564e-17,1.0
LG03,LG,3,750.0,0.03637349034658404,0.10287976671797201,-9.154787718563649e-17,-9.103828801926286e-17,1.0
LG03,LG,3,812.5,0.03654736278482663,0.1033715522385431,-9.017211239209838e-17,-8.659739592076223e-17,1.0
LG03,LG,3,875.0,0.03673422168392847,0.10390006901726295,-1.0947780001273326e-16,-1.0436096431476472e-16,1.0
LG03,LG,3,937.5,0.03693386839603676,0.10446475519315644,-1.7852503355317395e-16,-1.7541523789077474e-16,1.0
LG03,LG,3,1000.0,0.03714609588879252,0.10506502519028371,-1.9007806713339169e-16,-1.8873791418627666e-16,0.9999999999999999
BG01,BG,1,0.0,0.024988272024503978,0.07067750639464344,2.392802124747505e-21,0.0,1.0
BG01,BG,1,62.5,0.024993744876194476,0.07069298595681457,-3.0766014627643843e-18,-2.2204460492503135e-18,1.0
BG01,BG,1,125.0,0.025010156245680794,0.0707394043194239,-5.443860742504371e-18,-2.2204460492503135e-18,1.0
BG01,BG,1,187.5,0.025037484633935438,0.07081670067403893,-1.2764305646080908e-17,-1.1102230246251566e-17,1.0
BG01,BG,1,250.0,0.025075694315843763,0.07092477397477637,-1.5424307627033788e-17,-1.221245327087672e-17,1.0000000000000002
BG01,BG,1,312.5,0.02512473579085814,0.07106348421294459,-3.675944731180115e-17,-3.330669073875469e-17,1.0000000000000004
BG01,BG,1,375.0,0.025184545476668558,0.07123265155061333,-4.4943118691368316e-17,-4.2188474935755955e-17,1.0
BG01,BG,1,437.5,0.025255047365203592,0.07143206100449165,-2.225285897903611e-17,-1.8873791418627656e-17,1.0000000000000004
BG01,BG,1,500.0,0.025336151352854108,0.07166145772308745,-5.552999126232546e-17,-5.3290705182007524e-17,1.0
BG01,BG,1,562.5,0.02542775738911779,0.07192055872084613,-6.747325150686435e-17,-6.550315845288423e-17,1.0000000000000002
