order,z_m,lg_r_rms_m,bg_r_rms_m,difference_bg_minus_lg_m,relative_difference_percent
1,0.0,0.025,0.024988272024503978,-1.1727975496023807e-05,-0.04691190198409523
1,62.5,0.025005071066585213,0.024993744876194476,-1.1326190390736901e-05,-0.045295573688140085
1,125.0,0.025020278099571705,0.025010156245680794,-1.0121853890911192e-05,-0.04045460186585399
1,187.5,0.02504560264464796,0.025037484633935438,-8.11801071252255e-06,-0.032412918258356634
1,250.0,0.025081014028934905,0.025075694315843763,-5.319713091141848e-06,-0.021210119674606138
1,312.5,0.025126469751716184,0.02512473579085814,-1.7339608580427268e-06,-0.006900933060539848
1,375.0,0.025181915084726714,0.025184545476668558,2.6303919418435573e-06,0.010445559573183286
1,437.5,0.025247284710031567,0.025255047365203592,7.762655172025706e-06,0.03074649516247326
1,500.0,0.025322501039165078,0.025336151352854108,1.365031368903008e-05,0.053905866833287144
1,562.5,0.025407477564117896,0.02542775738911779,2.0279824999892837e-05,0.07981833280661176
1,625.0,0.025502116161911514,0.025529750839557427,2.763467764591368e-05,0.10836229225238664
1,687.5,0.025606309131885847,0.025642008400785867,3.569926890002045e-05,0.1394159100249497
1,750.0,0.02571994147228052,0.025764396114671698,4.445464239117777e-05,0.172841149110267
1,812.5,0.025842887651257626,0.02589676988454726,5.388223328963229e-05,0.20849927460412943
1,875.0,0.025975017630745945,0.026038979499259776,6.396186851383157e-05,0.24624379248975595
1,937.5,0.026116187671096032,0.02619086047222611,7.46728011300768e-05,0.2859253504780124
1,1000.0,0.02626625659499351,0.02635224933828367,8.59927432901586e-05,0.3273886515924362
2,0.0,0.03061862178478973,0.030638259024979717,1.9637240189988858e-05,0.06413495789592973
2,62.5,0.030624832545896315,0.030644549003934526,1.971645803821101e-05,0.0643806231712865
2,125.0,0.030643457276501293,0.03066341119922774,1.995392272644697e-05,0.06511642125233855
2,187.5,0.030674473399969645,0.030694822484058196,2.034908408855146e-05,0.06633882128379619
2,250.0,0.030717843274342047,0.030738744236654292,2.090096231224456e-05,0.0680417636276655
2,312.5,0.03077351490852044,0.03079512322604658,2.1608317526140147e-05,0.07021725529363344
2,375.0,0.03084142139172219,0.03086389089318009,2.2469501457900165e-05,0.07285494780707792
2,437.5,0.030921482412202782,0.030944964887412097,2.3482475209314624e-05,0.07594226853770618
2,500.0,0.0310136031719657,0.031038248029496365,2.4644857530665282e-05,0.07946467037065415
2,562.5,0.03111767797110835,0.031143632319724304,2.595434861595372e-05,0.08340708660861972
2,625.0,0.031233585757957937,0.0312609934228635,2.740766490556476e-05,0.08775061921470743
2,687.5,0.03136119591509244,0.03139019794496245,2.9002029870009438e-05,0.09247743596427181
2,750.0,0.03150036656686866,0.03153110045683828,3.073388996962384e-05,0.09756676927673921
2,812.5,0.03165094439556644,0.0316835439348414,3.259953927495923e-05,0.10299705079108372
2,875.0,0.031812769421611854,0.03184736502895323,3.4595607341376955e-05,0.10874755002585407
2,937.5,0.031985667965523865,0.032022385904954494,3.671793943062912e-05,0.11479497464366226
2,1000.0,0.032169462644449025,0.032208424592283985,3.8961947834960375e-05,0.12111469894783407
3,0.0,0.03535533905932738,0.03533262501482147,-2.271404450591291e-05,-0.06424501959321624
3,62.5,0.03536251062874197,0.03533983968325954,-2.267094548243087e-05,-0.06411011288323053
3,125.0,0.03538401661586137,0.0353614748566852,-2.2541759176174236e-05,-0.06370604960113427
3,187.5,0.0354198309566769,0.035397504148104275,-2.2326808572621648e-05,-0.06303476885570196
3,250.0,0.035469910170258606,0.035447883503052134,-2.2026667206472006e-05,-0.062099585538114184
3,312.5,0.03553419422378791,0.035512552170220486,-2.1642053567423603e-05,-0.060904866538202256
3,375.0,0.03561260591417408,0.03559143195133168,-2.117396284240236e-05,-0.05945637029042844
3,437.5,0.0357050523130972,0.035684428746199745,-2.0623566897456924e-05,-0.05776092054594711
3,500.0,0.03581142429372023,0.03579143204832485,-1.9992245395381025e-05,-0.055826445860984085
3,562.5,0.03593159930496579,0.03591231787683092,-1.928142813487077e-05,-0.053661480445725815
3,625.0,0.03606543825514286,0.03604694543586959,-1.8492819273276118e-05,-0.05127573701572606
3,687.5,0.03621278980411383,0.03619516143728633,-1.762836682750457e-05,-0.048679946844365905
3,750.0,0.03637349034658404,0.0363568004927704,-1.6689853813638134e-05,-0.04588466395336057
3,812.5,0.03654736278482663,0.03653168317369672,-1.5679611129908178e-05,-0.0429021684060276
3,875.0,0.03673422168392847,0.03671962211756042,-1.4599566368046768e-05,-0.039743774874735405
3,937.5,0.03693386839603676,0.03692041621630781,-1.3452179728951075e-05,-0.036422341642378786
3,1000.0,0.03714609588879252,0.03713385599376135,-1.22398950311714e-05,-0.032950690343919405
