parameterization,ell,z_m,kr_bg_m-1,w0_bg_m,lg_r_rms_m,bg_r_rms_m,relative_difference_percent
fixed_w0_adjust_kr,1,0.0,77.76066859809801,0.04,0.025,0.025000000004475633,1.790252668332215e-08
fixed_w0_adjust_kr,1,62.5,77.76066859809801,0.04,0.025005071066585213,0.025005564877011124,0.001974841121611576
fixed_w0_adjust_kr,1,125.0,77.76066859809801,0.04,0.025020278099571705,0.025022252068954656,0.007889478186835327
fixed_w0_adjust_kr,1,187.5,77.76066859809801,0.04,0.02504560264464796,0.02505003936488023,0.017714567683671894
fixed_w0_adjust_kr,1,250.0,77.76066859809801,0.04,0.025081014028934905,0.025088889846660765,0.03140151238213171
fixed_w0_adjust_kr,1,312.5,77.76066859809801,0.04,0.025126469751716184,0.025138752369830417,0.04888318269777377
fixed_w0_adjust_kr,1,375.0,77.76066859809801,0.04,0.025181915084726714,0.025199561267150093,0.07007482299898965
fixed_w0_adjust_kr,1,437.5,77.76066859809801,0.04,0.025247284710031567,0.02527123800737565,0.0948747464101204
fixed_w0_adjust_kr,1,500.0,77.76066859809801,0.04,0.025322501039165078,0.02535368955951313,0.12316524461708203
fixed_w0_adjust_kr,1,562.5,77.76066859809801,0.04,0.025407477564117896,0.025446812657202365,0.15481699426951484
fixed_w0_adjust_kr,1,625.0,77.76066859809801,0.04,0.025502116161911514,0.02555048888329276,0.18968120556793044
fixed_w0_adjust_kr,1,687.5,77.76066859809801,0.04,0.025606309131885847,0.025664591173673323,0.22760813160261842
fixed_w0_adjust_kr,1,750.0,77.76066859809801,0.04,0.02571994147228052,0.025788981204305946,0.26842880688446885
fixed_w0_adjust_kr,1,812.5,77.76066859809801,0.04,0.025842887651257626,0.025923510484424026,0.311973004930337
fixed_w0_adjust_kr,1,875.0,77.76066859809801,0.04,0.025975017630745945,0.02606802411059098,0.35806127705932933
fixed_w0_adjust_kr,1,937.5,77.76066859809801,0.04,0.026116187671096032,0.026222352790517944,0.4065107846479807
fixed_w0_adjust_kr,1,1000.0,77.76066859809801,0.04,0.02626625659499351,0.026386327831839085,0.45713113481294476
fixed_w0_adjust_kr,2,0.0,93.29526460461886,0.04,0.03061862178478973,0.030618621776957407,-2.5580255218203473e-08
fixed_w0_adjust_kr,2,62.5,93.29526460461886,0.04,0.030624832545896315,0.030625200516599383,0.0012015435595156012
fixed_w0_adjust_kr,2,125.0,93.29526460461886,0.04,0.030643457276501293,0.0306449282617298,0.004800323981832085
fixed_w0_adjust_kr,2,187.5,93.29526460461886,0.04,0.030674473399969645,0.03067777971404028,0.010778715016632967
fixed_w0_adjust_kr,2,250.0,93.29526460461886,0.04,0.030717843274342047,0.030723712570344616,0.0191071226913603
fixed_w0_adjust_kr,2,312.5,93.29526460461886,0.04,0.03077351490852044,0.030782668643639585,0.029745497536940512
fixed_w0_adjust_kr,2,375.0,93.29526460461886,0.04,0.03084142139172219,0.030854572986376158,0.04264263467927501
fixed_w0_adjust_kr,2,437.5,93.29526460461886,0.04,0.030921482412202782,0.030939335491061704,0.057736814234609905
fixed_w0_adjust_kr,2,500.0,93.29526460461886,0.04,0.0310136031719657,0.031036849998984952,0.07495687260313694
fixed_w0_adjust_kr,2,562.5,93.29526460461886,0.04,0.03111767797110835,0.031146998750142332,0.09422547229007831
fixed_w0_adjust_kr,2,625.0,93.29526460461886,0.04,0.031233585757957937,0.03126964593236272,0.11545320055221499
fixed_w0_adjust_kr,2,687.5,93.29526460461886,0.04,0.03136119591509244,0.031404646326243714,0.13854832344057025
fixed_w0_adjust_kr,2,750.0,93.29526460461886,0.04,0.03150036656686866,0.03155184143794657,0.16341038752245501
fixed_w0_adjust_kr,2,812.5,93.29526460461886,0.04,0.03165094439556644,0.03171106025193061,0.18993384719536957
fixed_w0_adjust_kr,2,875.0,93.29526460461886,0.04,0.031812769421611854,0.03188212546165554,0.21801321074727475
fixed_w0_adjust_kr,2,937.5,93.29526460461886,0.04,0.031985667965523865,0.03206484402148447,0.2475360403476498
fixed_w0_adjust_kr,2,1000.0,93.29526460461886,0.04,0.032169462644449025,0.03225901785356789,0.2783857788010621
fixed_w0_adjust_kr,3,0.0,106.73978529394739,0.04,0.03535533905932738,0.03535533904160936,-5.011413259164579e-08
fixed_w0_adjust_kr,3,62.5,106.73978529394739,0.04,0.03536251062874197,0.03536281677390149,0.0008657336656209901
fixed_w0_adjust_kr,3,125.0,106.73978529394739,0.04,0.03538401661586137,0.03538524048945653,0.003458831733103796
fixed_w0_adjust_kr,3,187.5,106.73978529394739,0.04,0.0354198309566769,0.035422581877347446,0.007766611517469499
fixed_w0_adjust_kr,3,250.0,106.73978529394739,0.04,0.035469910170258606,0.035474793611031126,0.013767840823613335
fixed_w0_adjust_kr,3,312.5,106.73978529394739,0.04,0.03553419422378791,0.03554181057273225,0.021433858599337507
fixed_w0_adjust_kr,3,375.0,106.73978529394739,0.04,0.03561260591417408,0.035623548829223806,0.030727644801101253
fixed_w0_adjust_kr,3,437.5,106.73978529394739,0.04,0.0357050523130972,0.035719907433815166,0.04160509439308514
fixed_w0_adjust_kr,3,500.0,106.73978529394739,0.04,0.03581142429372023,0.03583076793399181,0.054015277674864505
fixed_w0_adjust_kr,3,562.5,106.73978529394739,0.04,0.03593159930496579,0.035955997541491334,0.06790189414745089
fixed_w0_adjust_kr,3,625.0,106.73978529394739,0.04,0.03606543825514286,0.03609544568100638,0.08320272070792768
fixed_w0_adjust_kr,3,687.5,106.73978529394739,0.04,0.03621278980411383,0.03624894786507181,0.09984886873827262
fixed_w0_adjust_kr,3,750.0,106.73978529394739,0.04,0.03637349034658404,0.036416327773553796,0.11777101004489697
fixed_w0_adjust_kr,3,812.5,106.73978529394739,0.04,0.03654736278482663,0.03659739305762577,0.1368916085510689
fixed_w0_adjust_kr,3,875.0,106.73978529394739,0.04,0.03673422168392847,0.036791944119328936,0.15713531621039584
fixed_w0_adjust_kr,3,937.5,106.73978529394739,0.04,0.03693386839603676,0.03699976613720869,0.17842090209809405
fixed_w0_adjust_kr,3,1000.0,106.73978529394739,0.04,0.03714609588879252,0.0372206357645434,0.20066678332505378
fixed_w0_adjust_kr,4,0.0,118.71281966790598,0.04,0.03952847075210474,0.03952847075733757,1.3238124218288737e-08
fixed_w0_adjust_kr,4,62.5,118.71281966790598,0.04,0.03953648881228184,0.039536756463275834,0.0006769720884013303
fixed_w0_adjust_kr,4,125.0,118.71281966790598,0.04,0.03956053324229526,0.03956160316903827,0.0027045306403105053
fixed_w0_adjust_kr,4,187.5,118.71281966790598,0.04,0.03960057487635896,0.03960297972870537,0.006072771301733944
fixed_w0_adjust_kr,4,250.0,118.71281966790598,0.04,0.039656565177269086,0.03966083433283722,0.01076531855205404
fixed_w0_adjust_kr,4,312.5,118.71281966790598,0.04,0.03972843690229714,0.039735095218847646,0.016759573418109238
fixed_w0_adjust_kr,4,375.0,118.71281966790598,0.04,0.03981610380427051,0.03982567026840749,0.024026620444854548
fixed_w0_adjust_kr,4,437.5,118.71281966790598,0.04,0.039919461931494975,0.03993244865539639,0.032532311992841484
fixed_w0_adjust_kr,4,500.0,118.71281966790598,0.04,0.04003838966087374,0.040055300756154086,0.042237201404914014
fixed_w0_adjust_kr,4,562.5,118.71281966790598,0.04,0.040172749071154625,0.04019407931592915,0.05309630350849657
fixed_w0_adjust_kr,4,625.0,118.71281966790598,0.04,0.040322385777620026,0.04034862038487155,0.06506214041056993
fixed_w0_adjust_kr,4,687.5,118.71281966790598,0.04,0.04048712974676907,0.04051874219246205,0.07808023411564646
fixed_w0_adjust_kr,4,750.0,118.71281966790598,0.04,0.04066679835701048,0.04070425098279742,0.09209632255321147
fixed_w0_adjust_kr,4,812.5,118.71281966790598,0.04,0.0408611939478788,0.04090493642907311,0.10705140248742959
fixed_w0_adjust_kr,4,875.0,118.71281966790598,0.04,0.04107010790831047,0.0411205766158788,0.12288428284873343
fixed_w0_adjust_kr,4,937.5,118.71281966790598,0.04,0.041293320018329,0.04135093815453621,0.13953379428351226
fixed_w0_adjust_kr,4,1000.0,118.71281966790598,0.04,0.04153059819631527,0.04159577470636527,0.1569361215119172
fixed_w0_adjust_kr,5,0.0,129.60154038637108,0.04,0.04330127018922194,0.043301270205170196,3.683092097421978e-08
fixed_w0_adjust_kr,5,62.5,129.60154038637108,0.04,0.04331005353594112,0.043310294269000044,0.0005558364381259933
fixed_w0_adjust_kr,5,125.0,129.60154038637108,0.04,0.043336392894936945,0.04333735518609819,0.00222051513050709
fixed_w0_adjust_kr,5,187.5,129.60154038637108,0.04,0.04338025627979404,0.04338241917127094,0.004985889117272664
fixed_w0_adjust_kr,5,250.0,129.60154038637108,0.04,0.043441590631299,0.04344543030009767,0.008838692927374853
fixed_w0_adjust_kr,5,312.5,129.60154038637108,0.04,0.043520322098524904,0.04352631054965955,0.013760125950106155
fixed_w0_adjust_kr,5,375.0,129.60154038637108,0.04,0.043616356331110925,0.0436249603835229,0.01972666480128644
fixed_w0_adjust_kr,5,437.5,129.60154038637108,0.04,0.043729579420588076,0.043741259747174015,0.026710356561169494
fixed_w0_adjust_kr,5,500.0,129.60154038637108,0.04,0.04385985848483159,0.043875068680277816,0.03467908007839009
fixed_w0_adjust_kr,5,562.5,129.60154038637108,0.04,0.04400704157791989,0.04402622656900292,0.04359527565392955
fixed_w0_adjust_kr,5,625.0,129.60154038637108,0.04,0.044170960395234896,0.044194556634478514,0.05342025401413783
fixed_w0_adjust_kr,5,687.5,129.60154038637108,0.04,0.04435142839929753,0.044379862123650866,0.06411005322612322
fixed_w0_adjust_kr,5,750.0,129.60154038637108,0.04,0.04454824528990712,0.04458193209936352,0.07561871233575801
fixed_w0_adjust_kr,5,812.5,129.60154038637108,0.04,0.04476119533822357,0.04480054033133329,0.08789978197056265
fixed_w0_adjust_kr,5,875.0,129.60154038637108,0.04,0.044990048513043786,0.04503544396289941,0.1009010911434344
fixed_w0_adjust_kr,5,937.5,129.60154038637108,0.04,0.045234565329898134,0.045286392506489276,0.11457427790709036
fixed_w0_adjust_kr,5,1000.0,129.60154038637108,0.04,0.045494491372448015,0.0455531184734134,0.1288663730415781
fixed_w0_adjust_kr,6,0.0,139.6523987895067,0.04,0.04677071733467427,0.046770717012527684,-6.887783757489033e-07
fixed_w0_adjust_kr,6,62.5,139.6523987895067,0.04,0.04678020443405339,0.04678042465001654,0.00047074604700102327
fixed_w0_adjust_kr,6,125.0,139.6523987895067,0.04,0.04680865419521598,0.04680953548312204,0.0018827456614878726
fixed_w0_adjust_kr,6,187.5,139.6523987895067,0.04,0.046856032042074856,0.04685801328109372,0.004228354242813919
fixed_w0_adjust_kr,6,250.0,139.6523987895067,0.04,0.04692228074453799,0.04692579822426897,0.007496395476019375
fixed_w0_adjust_kr,6,312.5,139.6523987895067,0.04,0.04700732037581007,0.04701280649532143,0.01167077695026685
fixed_w0_adjust_kr,6,375.0,139.6523987895067,0.04,0.04711104918075777,0.04711893170485489,0.016731794842599602
fixed_w0_adjust_kr,6,437.5,139.6523987895067,0.04,0.047233344053126465,0.04724404505253128,0.022655604042733247
fixed_w0_adjust_kr,6,500.0,139.6523987895067,0.04,0.047374061690728574,0.047387996859345874,0.029415186538728908
fixed_w0_adjust_kr,6,562.5,139.6523987895067,0.04,0.04753303746239534,0.04755061439077843,0.036978340374306015
fixed_w0_adjust_kr,6,625.0,139.6523987895067,0.04,0.047710089872648326,0.047731708419752744,0.045312316874951075
fixed_w0_adjust_kr,6,687.5,139.6523987895067,0.04,0.04790501769907869,0.04793106869896372,0.05438052449676819
fixed_w0_adjust_kr,6,750.0,139.6523987895067,0.04,0.0481176040513976,0.048148468204390935,0.06414316257385495
fixed_w0_adjust_kr,6,812.5,139.6523987895067,0.04,0.048347616620051576,0.04838366529982954,0.07456144128315964
fixed_w0_adjust_kr,6,875.0,139.6523987895067,0.04,0.048594805913430905,0.04863639853139344,0.08559066587616461
fixed_w0_adjust_kr,6,937.5,139.6523987895067,0.04,0.04885891433210041,0.048906400497710924,0.09719038226625569
fixed_w0_adjust_kr,6,1000.0,139.6523987895067,0.04,0.04913966711637078,0.04919338447156868,0.10931566766760775
fixed_w0_adjust_kr,7,0.0,149.03178640015554,0.04,0.05000000000000001,0.04999999964529639,-7.094072412838769e-07
fixed_w0_adjust_kr,7,62.5,149.03178640015554,0.04,0.050010142134939775,0.0500103464745548,0.0004085963492682948
fixed_w0_adjust_kr,7,125.0,149.03178640015554,0.04,0.050040556206216516,0.050041374126128337,0.0016345140298798246
fixed_w0_adjust_kr,7,187.5,149.03178640015554,0.04,0.05009120524314566,0.050093044099697996,0.003671016785096605
fixed_w0_adjust_kr,7,250.0,149.03178640015554,0.04,0.05016202808609373,0.05016529282417942,0.006508385346958655
fixed_w0_adjust_kr,7,312.5,149.03178640015554,0.04,0.050252939219430984,0.05025803117449295,0.010132651226093603
fixed_w0_adjust_kr,7,375.0,149.03178640015554,0.04,0.050363829985851656,0.050371146255651485,0.014526833646058859
fixed_w0_adjust_kr,7,437.5,149.03178640015554,0.04,0.05049456868608988,0.05050450099393204,0.019670051850338575
fixed_w0_adjust_kr,7,500.0,149.03178640015554,0.04,0.050645002190149196,0.05065793642612918,0.025539017515336427
fixed_w0_adjust_kr,7,562.5,149.03178640015554,0.04,0.050814954418032965,0.05083126893708293,0.0321057437457358
fixed_w0_adjust_kr,7,625.0,149.03178640015554,0.04,0.051004231204550894,0.051024297119669236,0.0393416676311974
fixed_w0_adjust_kr,7,687.5,149.03178640015554,0.04,0.05121261790758813,0.05123679811475327,0.0472153312075755
fixed_w0_adjust_kr,7,750.0,149.03178640015554,0.04,0.051439882225516834,0.051468530257274464,0.05569225767670891
fixed_w0_adjust_kr,7,812.5,149.03178640015554,0.04,0.05168577604132469,0.05171923650153524,0.06473823704184377
fixed_w0_adjust_kr,7,875.0,149.03178640015554,0.04,0.05195003240785262,0.051988639037729704,0.07431492934208239
