beam,family,order,psd,regime,r_rms_effective,r0_total,r0_screen,eta_total,eta_screen,retention,spread,entropy
LG01,LG,1,kolmogorov,weak,0.02542627041541732,0.1066,0.5626381731535621,0.23852036036976848,0.045191157707811035,0.67776121350686,1.3090132715686913,0.1625880094515072
LG01,LG,1,kolmogorov,moderate,0.02542627041541732,0.0268,0.14145124803485426,0.948741433411094,0.1797528884945021,0.1924960603364056,4.226117318522357,0.3830988319869291
LG01,LG,1,kolmogorov,strong,0.02542627041541732,0.0067,0.035362812008713565,3.794965733644376,0.7190115539780084,0.04606598415740265,16.176775848391067,0.6343128306086583
LG01,LG,1,von_karman,weak,0.02542627041541732,0.1066,0.5626381731535621,0.23852036036976848,0.045191157707811035,0.7222878404502875,1.2726891380217493,0.1487480502867758
LG01,LG,1,von_karman,moderate,0.02542627041541732,0.0268,0.14145124803485426,0.948741433411094,0.1797528884945021,0.2174102404600329,4.093442104838146,0.3708055235126309
LG01,LG,1,von_karman,strong,0.02542627041541732,0.0067,0.035362812008713565,3.794965733644376,0.7190115539780084,0.05125107345453489,15.378001558250075,0.6238354979949939
LG01,LG,1,modified_von_karman,weak,0.02542627041541732,0.1066,0.5626381731535621,0.23852036036976848,0.045191157707811035,0.7237132635755292,1.0185945781863393,0.1473504175804845
LG01,LG,1,modified_von_karman,moderate,0.02542627041541732,0.0268,0.14145124803485426,0.948741433411094,0.1797528884945021,0.22091215721686347,3.2680678368061216,0.3628537987661105
LG01,LG,1,modified_von_karman,strong,0.02542627041541732,0.0067,0.035362812008713565,3.794965733644376,0.7190115539780084,0.05437427818915928,11.9420452438669,0.5998230287488553
LG02,LG,2,kolmogorov,weak,0.031140694289898043,0.1066,0.5626381731535621,0.29212658808534747,0.055347638634890034,0.5791662406670641,1.5840787919721833,0.19420688233285732
LG02,LG,2,kolmogorov,moderate,0.031140694289898043,0.0268,0.14145124803485426,1.161966204846942,0.22015142830146558,0.1461687410397499,5.055420028148731,0.4154847917110154
LG02,LG,2,kolmogorov,strong,0.031140694289898043,0.0067,0.035362812008713565,4.647864819387768,0.8806057132058623,0.036658267565765235,18.228047697882836,0.6611948235304003
LG02,LG,2,von_karman,weak,0.031140694289898043,0.1066,0.5626381731535621,0.29212658808534747,0.055347638634890034,0.6416526826993793,1.5382659052237186,0.17767115608116188
LG02,LG,2,von_karman,moderate,0.031140694289898043,0.0268,0.14145124803485426,1.161966204846942,0.22015142830146558,0.15940159833367445,4.928275598552637,0.4070835767397427
LG02,LG,2,von_karman,strong,0.031140694289898043,0.0067,0.035362812008713565,4.647864819387768,0.8806057132058623,0.03847605012401027,17.567682701372718,0.654051164437095
LG02,LG,2,modified_von_karman,weak,0.031140694289898043,0.1066,0.5626381731535621,0.29212658808534747,0.055347638634890034,0.6485279124736117,1.2441694676723625,0.17463817464527925
LG02,LG,2,modified_von_karman,moderate,0.031140694289898043,0.0268,0.14145124803485426,1.161966204846942,0.22015142830146558,0.1645885476695808,3.9750419905819925,0.39754608999520646
LG02,LG,2,modified_von_karman,strong,0.031140694289898043,0.0067,0.035362812008713565,4.647864819387768,0.8806057132058623,0.04112191877544178,13.929620429810855,0.630239600273858
LG03,LG,3,kolmogorov,weak,0.03595817646204896,0.1066,0.5626381731535621,0.3373187285370447,0.06390994812972779,0.5277183863597548,1.802341151356697,0.21165543530821443
LG03,LG,3,kolmogorov,moderate,0.03595817646204896,0.0268,0.14145124803485426,1.3417230023152598,0.2542089727846636,0.1189985841380904,5.765970342130025,0.44018029063566555
LG03,LG,3,kolmogorov,strong,0.03595817646204896,0.0067,0.035362812008713565,5.366892009261039,1.0168358911386544,0.03085236534807797,20.148839891107105,0.6824696662753457
LG03,LG,3,von_karman,weak,0.03595817646204896,0.1066,0.5626381731535621,0.3373187285370447,0.06390994812972779,0.5787241345867721,1.7574059187853193,0.19843415262662445
LG03,LG,3,von_karman,moderate,0.03595817646204896,0.0268,0.14145124803485426,1.3417230023152598,0.2542089727846636,0.1325785550582832,5.610547809183182,0.4298621585166269
LG03,LG,3,von_karman,strong,0.03595817646204896,0.0067,0.035362812008713565,5.366892009261039,1.0168358911386544,0.03251111386672254,19.363499981344997,0.6746628226154355
LG03,LG,3,modified_von_karman,weak,0.03595817646204896,0.1066,0.5626381731535621,0.3373187285370447,0.06390994812972779,0.5868052911498122,1.441757521285322,0.19465422643670677
LG03,LG,3,modified_von_karman,moderate,0.03595817646204896,0.0268,0.14145124803485426,1.3417230023152598,0.2542089727846636,0.1363877283333409,4.581998260902133,0.42165443618527754
LG03,LG,3,modified_von_karman,strong,0.03595817646204896,0.0067,0.035362812008713565,5.366892009261039,1.0168358911386544,0.03430832897408705,15.58794885543482,0.6516521419543183
BG01,BG,1,kolmogorov,weak,0.025414370920862902,0.1066,0.5626381731535621,0.2384087328411154,0.04517000824600378,0.6699064169035029,1.315627682233015,0.16362251045384804
BG01,BG,1,kolmogorov,moderate,0.025414370920862902,0.0268,0.14145124803485426,0.9482974224202575,0.17966876414268668,0.1920786259347928,4.2409252462721305,0.3831968255380861
