order,psd,regime,metric,difference_BG_minus_LG,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
1,kolmogorov,weak,retention,-0.007854796603357084,-1.1589327401482499,-0.021432694779242045,0.00545034889407506,False
1,kolmogorov,weak,spread,0.006614410664323778,0.5052974486956286,-0.0038767978253041037,0.01723598183247996,False
1,kolmogorov,weak,entropy,0.001034501002340843,0.6362713989984536,-0.003069753849317644,0.00528034913444833,False
1,kolmogorov,moderate,retention,-0.0004174344016127929,-0.21685347787548775,-0.010164164631798945,0.008654661808949771,False
1,kolmogorov,moderate,spread,0.014807927749773242,0.35039083474736016,-0.01765857111139381,0.0478905630662761,False
1,kolmogorov,moderate,entropy,9.799355115697184e-05,0.02557918296141275,-0.003158153579903308,0.0032400457342325268,False
1,kolmogorov,strong,retention,0.0008427034455305085,1.8293399369284697,-0.0005582308233899163,0.002286272292823103,False
1,kolmogorov,strong,spread,-0.09742366764559662,-0.6022440352679198,-0.2472170469591657,0.05001937810482636,False
1,kolmogorov,strong,entropy,-0.0019688091176669476,-0.3103845646284289,-0.004200549669170206,0.00013693714611462954,False
1,von_karman,weak,retention,-0.002460636190602772,-0.34067252039972956,-0.013396293362991002,0.008978441434547207,False
1,von_karman,weak,spread,0.003119604973254697,0.2451191638284718,-0.005009702247844216,0.011225070031353045,False
1,von_karman,weak,entropy,0.0007435215180559007,0.49985295042351374,-0.0029784892497204834,0.004429112458247222,False
1,von_karman,moderate,retention,-0.0014815917975732062,-0.6814728664290177,-0.012056471169152391,0.008600642508306592,False
1,von_karman,moderate,spread,0.03582166759893202,0.8750989187459975,0.008190442019674926,0.06472784412405656,True
1,von_karman,moderate,entropy,0.001151759658402085,0.3106101676942394,-0.0020271295006014595,0.004334949415936164,False
1,von_karman,strong,retention,-0.001537503904858059,-2.999944784028743,-0.002986299864622764,-6.542009571956966e-05,True
1,von_karman,strong,spread,0.07882192046886694,0.5125628331503199,-0.039990188553030645,0.1979791990824526,False
1,von_karman,strong,entropy,0.0009622679112460952,0.15425026538868378,-0.0009593819260592434,0.0028724598031282496,False
1,modified_von_karman,weak,retention,0.00020827955255109387,0.028779291887243007,-0.011113956559242749,0.011700920747723328,False
1,modified_von_karman,weak,spread,-0.0005197558877843012,-0.051026767559449765,-0.010371301881318195,0.0095649618327435,False
1,modified_von_karman,weak,entropy,-0.0008868653795988113,-0.6018750365022856,-0.004679995811953561,0.0027880137194562383,False
1,modified_von_karman,moderate,retention,-0.010109683111729634,-4.5763362411083754,-0.020222559825062637,0.00010953899461483027,False
1,modified_von_karman,moderate,spread,0.009160226139364624,0.28029485912743174,-0.02373073325424878,0.04121741611295048,False
1,modified_von_karman,moderate,entropy,0.001514373373203981,0.4173508389201461,-0.0016455119900913,0.004585333660768191,False
1,modified_von_karman,strong,retention,-0.0017023421741235653,-3.130785788459377,-0.003384768747567064,-2.0127148286862812e-05,True
1,modified_von_karman,strong,spread,0.05274190598331785,0.44164885416427824,-0.07996046824558509,0.1817845591510488,False
1,modified_von_karman,strong,entropy,0.0003666090289247137,0.061119532154243476,-0.0017203892134279083,0.00249257252561168,False
2,kolmogorov,weak,retention,-0.0010010671683171601,-0.17284625691652275,-0.01657401059673894,0.014138016906330184,False
2,kolmogorov,weak,spread,-0.00017466035957558468,-0.011025989392745544,-0.01181581198976402,0.012020664318604596,False
2,kolmogorov,weak,entropy,-0.0002695982748241177,-0.1388201445724486,-0.004408453875677425,0.0038344978783639615,False
2,kolmogorov,moderate,retention,-0.005978802368211716,-4.090342658548185,-0.01350512613410986,0.0016969071893079056,False
