family,psd,regime,metric,order_a,order_b,difference_a_minus_b,ci95_lower,ci95_upper,ci_excludes_zero
LG,kolmogorov,weak,retention,2,1,-0.0985949728397959,-0.11266223468341427,-0.08419923799893671,True
LG,kolmogorov,weak,spread,2,1,0.27506552040349197,0.2641321336792607,0.2863791578317385,True
LG,kolmogorov,weak,entropy,2,1,0.031618872881350124,0.027518672454681356,0.03566149253838535,True
LG,kolmogorov,weak,retention,3,2,-0.05144785430730936,-0.06688381104903092,-0.03529400275311166,True
LG,kolmogorov,weak,spread,3,2,0.21826235938451366,0.2061938340702038,0.23040900221100594,True
LG,kolmogorov,weak,entropy,3,2,0.017448552975357107,0.013261355564878997,0.021633500860221835,True
LG,kolmogorov,moderate,retention,2,1,-0.046327319296655706,-0.05495342072877722,-0.03741236434919977,True
LG,kolmogorov,moderate,spread,2,1,0.8293027096263739,0.7935340683805285,0.8649853347895385,True
LG,kolmogorov,moderate,entropy,2,1,0.032385959724086255,0.02940265943641014,0.035539433319268135,True
LG,kolmogorov,moderate,retention,3,2,-0.027170156901659484,-0.03433565226116396,-0.020263728293254787,True
LG,kolmogorov,moderate,spread,3,2,0.7105503139812939,0.6696441071164367,0.7510658536396541,True
LG,kolmogorov,moderate,entropy,3,2,0.024695498924650172,0.02180624219411173,0.027661847392115385,True
LG,kolmogorov,strong,retention,2,1,-0.009407716591637416,-0.010653478132418803,-0.008157126498495062,True
LG,kolmogorov,strong,spread,2,1,2.051271849491769,1.8976146287357023,2.2107399795861125,True
LG,kolmogorov,strong,entropy,2,1,0.026881992921741982,0.02488482882922961,0.02889630013218771,True
LG,kolmogorov,strong,retention,3,2,-0.005805902217687266,-0.006793682784789294,-0.004877702006520713,True
LG,kolmogorov,strong,spread,3,2,1.920792193224269,1.7625155432781094,2.090580266105193,True
LG,kolmogorov,strong,entropy,3,2,0.0212748427449454,0.019459178317575106,0.02314569365426592,True
LG,von_karman,weak,retention,2,1,-0.08063515775090824,-0.09317033037835319,-0.06806200752031308,True
LG,von_karman,weak,spread,2,1,0.2655767672019693,0.2565332743826548,0.27478690528881794,True
LG,von_karman,weak,entropy,2,1,0.02892310579438609,0.025025346609683863,0.032671772548103335,True
LG,von_karman,weak,retention,3,2,-0.06292854811260717,-0.07679512969841092,-0.0482916139246039,True
LG,von_karman,weak,spread,3,2,0.21914001356160062,0.2086908165496664,0.22939056992679543,True
LG,von_karman,weak,entropy,3,2,0.02076299654546257,0.016802578545968987,0.02478596674683937,True
LG,von_karman,moderate,retention,2,1,-0.05800864212635845,-0.06718470720879716,-0.049015002190436606,True
LG,von_karman,moderate,spread,2,1,0.8348334937144912,0.8067285609932064,0.8638730598167269,True
LG,von_karman,moderate,entropy,2,1,0.036278053227111806,0.03340330301137124,0.039197896665730876,True
LG,von_karman,moderate,retention,3,2,-0.026823043275391256,-0.03432721848210849,-0.0193585890446563,True
LG,von_karman,moderate,spread,3,2,0.6822722106305452,0.6491699198916536,0.7159362825712319,True
LG,von_karman,moderate,entropy,3,2,0.022778581776884188,0.0201165817785605,0.02554814549948879,True
LG,von_karman,strong,retention,2,1,-0.012775023330524618,-0.014119061682335822,-0.011482617285394566,True
LG,von_karman,strong,spread,2,1,2.189681143122643,2.061738423071294,2.3181059356025875,True
LG,von_karman,strong,entropy,2,1,0.030215666442101052,0.028397941981877818,0.03202386532133249,True
LG,von_karman,strong,retention,3,2,-0.00596493625728773,-0.006945322809522638,-0.0049823908261581555,True
LG,von_karman,strong,spread,3,2,1.7958172799722796,1.6625044012978394,1.9326509359945236,True
LG,von_karman,strong,entropy,3,2,0.02061165817834054,0.018920599912220608,0.02224868803402595,True
LG,modified_von_karman,weak,retention,2,1,-0.07518535110191749,-0.08734659833421264,-0.06291767088442426,True
