beam,family,order,regime,metric,psd_a,psd_b,difference_a_minus_b,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
LG01,LG,1,weak,retention,von_karman,kolmogorov,0.04452662694342746,6.569662892486659,0.03268886244564432,0.057003069483012946,True
LG01,LG,1,weak,spread,von_karman,kolmogorov,-0.03632413354694197,-2.7749247724136494,-0.04539226568328716,-0.02717829869247017,True
LG01,LG,1,weak,entropy,von_karman,kolmogorov,-0.013839959164731408,-8.51228772122907,-0.017694568638574368,-0.010066098442359983,True
LG01,LG,1,weak,retention,modified_von_karman,von_karman,0.0014254231252417426,0.19734834859646921,-0.009905542907123687,0.012867168466700487,False
LG01,LG,1,weak,spread,modified_von_karman,von_karman,-0.25409455983541007,-19.965170774567245,-0.26299255921850084,-0.24484725751315173,True
LG01,LG,1,weak,entropy,modified_von_karman,von_karman,-0.0013976327062912852,-0.9395973282316962,-0.005026566478220331,0.002248406507907581,False
LG01,LG,1,weak,retention,modified_von_karman,kolmogorov,0.045952050068669203,6.779976362309806,0.03378244114647605,0.05833686370341501,True
LG01,LG,1,weak,spread,modified_von_karman,kolmogorov,-0.29041869338235204,-22.186077077302738,-0.30040897345788053,-0.2803389254745677,True
LG01,LG,1,weak,entropy,modified_von_karman,kolmogorov,-0.015237591871022693,-9.371903821460704,-0.019117614038555848,-0.011299823416742735,True
LG01,LG,1,moderate,retention,von_karman,kolmogorov,0.02491418012362731,12.942696115487953,0.01471164333614236,0.03472847698138362,True
LG01,LG,1,moderate,spread,von_karman,kolmogorov,-0.13267521368421153,-3.139411513795855,-0.16304398826224556,-0.10253865236509681,True
LG01,LG,1,moderate,entropy,von_karman,kolmogorov,-0.012293308474298215,-3.2089130657327734,-0.015541827974154794,-0.009233400451593654,True
LG01,LG,1,moderate,retention,modified_von_karman,von_karman,0.0035019167568305642,1.610741402714345,-0.0070759395904348415,0.01395717347374667,False
LG01,LG,1,moderate,spread,modified_von_karman,von_karman,-0.8253742680320242,-20.163330685842432,-0.8555022255892384,-0.7955044866704861,True
LG01,LG,1,moderate,entropy,modified_von_karman,von_karman,-0.007951724746520394,-2.1444461428713133,-0.011109238682012003,-0.004814925623487425,True
LG01,LG,1,moderate,retention,modified_von_karman,kolmogorov,0.028416096880457875,14.761910883161962,0.01831934049930903,0.03870290581312915,True
LG01,LG,1,moderate,spread,modified_von_karman,kolmogorov,-0.9580494817162357,-22.669732274522218,-0.990983622741614,-0.9248329995959393,True
LG01,LG,1,moderate,entropy,modified_von_karman,kolmogorov,-0.02024503322081861,-5.284545796137887,-0.023416929081523836,-0.01697564036200081,True
LG01,LG,1,strong,retention,von_karman,kolmogorov,0.005185089297132239,11.255787522991653,0.003729399634047997,0.006667213195019117,True
LG01,LG,1,strong,spread,von_karman,kolmogorov,-0.798774290140992,-4.937784250873684,-0.9317410554768628,-0.6629125016623155,True
LG01,LG,1,strong,entropy,von_karman,kolmogorov,-0.010477332613664347,-1.6517611039982854,-0.012511473460238726,-0.008471269620590834,True
LG01,LG,1,strong,retention,modified_von_karman,von_karman,0.0031232047346243866,6.093930378638798,0.0014944208553009772,0.004811880560165258,True
LG01,LG,1,strong,spread,modified_von_karman,von_karman,-3.4359563143831746,-22.343321408625,-3.562759227721672,-3.312652741253865,True
LG01,LG,1,strong,entropy,modified_von_karman,von_karman,-0.024012469246138646,-3.8491668594228248,-0.026032542032963363,-0.022012889904960357,True
LG01,LG,1,strong,retention,modified_von_karman,kolmogorov,0.008308294031756626,18.035637756849074,0.006753936238873004,0.009960561753850218,True
LG01,LG,1,strong,spread,modified_von_karman,kolmogorov,-4.234730604524167,-26.17784065386151,-4.382291413646599,-4.09621098299799,True
LG01,LG,1,strong,entropy,modified_von_karman,kolmogorov,-0.03448980185980299,-5.437348922409171,-0.0366296328642334,-0.03231265596493028,True
LG02,LG,2,weak,retention,von_karman,kolmogorov,0.062486442032315126,10.789033898168054,0.047831309019620204,0.07704525245972779,True
LG02,LG,2,weak,spread,von_karman,kolmogorov,-0.04581288674846462,-2.8920838395562023,-0.056763523600781796,-0.03501581262660723,True
LG02,LG,2,weak,entropy,von_karman,kolmogorov,-0.016535726251695443,-8.514490348160956,-0.020466960566894902,-0.012532383202453666,True
LG02,LG,2,weak,retention,modified_von_karman,von_karman,0.006875229774232494,1.0714877315417706,-0.006603610148492573,0.0206674669761828,False
LG02,LG,2,weak,spread,modified_von_karman,von_karman,-0.29409643755135617,-19.11869960535751,-0.3042780297444542,-0.2835216859445264,True
LG02,LG,2,weak,entropy,modified_von_karman,von_karman,-0.0030329814358826257,-1.707075871390813,-0.0070340225721142085,0.0008072133721479494,False
LG02,LG,2,weak,retention,modified_von_karman,kolmogorov,0.06936167180654762,11.976124804280579,0.05499930880867851,0.08417220633789115,True
LG02,LG,2,weak,spread,modified_von_karman,kolmogorov,-0.3399093242998208,-21.45785462329387,-0.35141219132584556,-0.32834157250932167,True
LG02,LG,2,weak,entropy,modified_von_karman,kolmogorov,-0.01956870768757807,-10.076217409246414,-0.023506060780979814,-0.015578318556812902,True
LG02,LG,2,moderate,retention,von_karman,kolmogorov,0.013232857293924566,9.05313762696085,0.005180549982707651,0.021413814390922787,True
LG02,LG,2,moderate,spread,von_karman,kolmogorov,-0.12714442959609418,-2.515012182729628,-0.16348638249723602,-0.09073435655558638,True
LG02,LG,2,moderate,entropy,von_karman,kolmogorov,-0.008401214971272664,-2.022027072681883,-0.011212376080749284,-0.005409480924208675,True
LG02,LG,2,moderate,retention,modified_von_karman,von_karman,0.0051869493359063545,3.254013378867471,-0.0029514692614743833,0.013376059674948558,False
LG02,LG,2,moderate,spread,modified_von_karman,von_karman,-0.9532336079706445,-19.34213273808379,-0.9887644250478245,-0.9176120963752961,True
LG02,LG,2,moderate,entropy,modified_von_karman,von_karman,-0.00953748674453625,-2.3428817298207463,-0.012374305733561472,-0.006697558499463303,True
LG02,LG,2,moderate,retention,modified_von_karman,kolmogorov,0.01841980662983092,12.601741315416913,0.010398359900066925,0.026448757833069925,True
LG02,LG,2,moderate,spread,modified_von_karman,kolmogorov,-1.0803780375667387,-21.370687926050877,-1.1197667374542455,-1.0409521717850274,True
LG02,LG,2,moderate,entropy,modified_von_karman,kolmogorov,-0.017938701715808913,-4.317535099644736,-0.02082048660827694,-0.01498087248495497,True
LG02,LG,2,strong,retention,von_karman,kolmogorov,0.0018177825582450374,4.958724672364618,0.0007482996973423509,0.002868167314799838,True
LG02,LG,2,strong,spread,von_karman,kolmogorov,-0.6603649965101184,-3.62279607479203,-0.8039403420716494,-0.5071607725768087,True
