beam,family,order,regime,metric,psd,reference_psd,relative_difference_percent,ci95_lower_percent,ci95_upper_percent,ci_excludes_zero
LG01,LG,1,weak,retention,von_karman,kolmogorov,6.569662892486659,4.7427057111797835,8.384887141991872,True
LG01,LG,1,weak,retention,modified_von_karman,kolmogorov,6.779976362309806,4.911649615775558,8.699401799077824,True
LG01,LG,1,weak,spread,von_karman,kolmogorov,-2.7749247724136494,-3.4686344691750843,-2.1022168323180157,True
LG01,LG,1,weak,spread,modified_von_karman,kolmogorov,-22.186077077302738,-22.866597319977682,-21.515872755142183,True
LG02,LG,2,weak,retention,von_karman,kolmogorov,10.789033898168054,8.261786365447508,13.49625583012299,True
LG02,LG,2,weak,retention,modified_von_karman,kolmogorov,11.976124804280579,9.26942169973522,14.690912355569775,True
LG02,LG,2,weak,spread,von_karman,kolmogorov,-2.8920838395562023,-3.5781289707942725,-2.2234663832907122,True
LG02,LG,2,weak,spread,modified_von_karman,kolmogorov,-21.45785462329387,-22.102759472437086,-20.80947168631353,True
LG03,LG,3,weak,retention,von_karman,kolmogorov,9.66533468330698,6.540845722536734,12.817740887881524,True
LG03,LG,3,weak,retention,modified_von_karman,kolmogorov,11.196673513243262,8.046035373163154,14.496629577323151,True
LG03,LG,3,weak,spread,von_karman,kolmogorov,-2.493159107949849,-3.1367123190337716,-1.8169957587230683,True
LG03,LG,3,weak,spread,modified_von_karman,kolmogorov,-20.006402772302497,-20.646686223072198,-19.33368022788854,True
BG01,BG,1,weak,retention,von_karman,kolmogorov,7.451904638700101,5.569819670462786,9.432255823938876,True
BG01,BG,1,weak,retention,modified_von_karman,kolmogorov,8.063085359631362,6.129546482184306,10.078162930361861,True
BG01,BG,1,weak,spread,von_karman,kolmogorov,-3.02661153879237,-3.7210798433016987,-2.344403228420342,True
BG01,BG,1,weak,spread,modified_von_karman,kolmogorov,-22.61679835053513,-23.314990274006306,-21.91852748601175,True
BG02,BG,2,weak,retention,von_karman,kolmogorov,11.623885654725239,8.948921528471988,14.314389643637819,True
BG02,BG,2,weak,retention,modified_von_karman,kolmogorov,12.405570358263907,9.723675286233647,15.137190715830906,True
BG02,BG,2,weak,spread,von_karman,kolmogorov,-3.136229901706294,-3.77656060567357,-2.468316259302061,True
BG02,BG,2,weak,spread,modified_von_karman,kolmogorov,-21.606809163228213,-22.250630053037376,-20.940016285548413,True
BG03,BG,3,weak,retention,von_karman,kolmogorov,13.597838564254415,10.412426552020321,16.995825851245353,True
BG03,BG,3,weak,retention,modified_von_karman,kolmogorov,12.457949852632634,9.277151226985525,15.842952979763105,True
BG03,BG,3,weak,spread,von_karman,kolmogorov,-2.8043629431629378,-3.462673520470563,-2.1556423313663737,True
BG03,BG,3,weak,spread,modified_von_karman,kolmogorov,-20.177153502129748,-20.80497402322818,-19.5244537931386,True
LG01,LG,1,moderate,retention,von_karman,kolmogorov,12.942696115487953,7.580018424533151,18.626230759934728,True
LG01,LG,1,moderate,retention,modified_von_karman,kolmogorov,14.761910883161962,9.10335996073067,20.426887656570283,True
LG01,LG,1,moderate,spread,von_karman,kolmogorov,-3.139411513795855,-3.819754649407022,-2.4496157320044967,True
LG01,LG,1,moderate,spread,modified_von_karman,kolmogorov,-22.669732274522218,-23.36758017178468,-21.983624024808396,True
LG02,LG,2,moderate,retention,von_karman,kolmogorov,9.05313762696085,3.4969736924779893,15.070464092715577,True
LG02,LG,2,moderate,retention,modified_von_karman,kolmogorov,12.601741315416913,6.858136879304162,18.722860352734518,True
LG02,LG,2,moderate,spread,von_karman,kolmogorov,-2.515012182729628,-3.2192235064596093,-1.811589903218687,True
LG02,LG,2,moderate,spread,modified_von_karman,kolmogorov,-21.370687926050877,-22.070676670186366,-20.675040673924975,True
LG03,LG,3,moderate,retention,von_karman,kolmogorov,11.411876047562119,5.838497349354759,17.63478177023969,True
