beam,family,order,psd,regime,signed_asymmetry,signed_ci95_lower,signed_ci95_upper,signed_ci_excludes_zero,absolute_asymmetry,absolute_ci95_lower,absolute_ci95_upper
LG01,LG,1,kolmogorov,weak,-0.0002643920604157669,-0.0017840678685161061,0.001227945280396485,False,0.0017331979642780373,0.0005420340718134024,0.004930433575515714
LG01,LG,1,kolmogorov,moderate,-0.00802131293004292,-0.013662527747887603,-0.0024886475340465254,True,0.012092833626005633,0.0076205297950776955,0.019794145557505468
LG01,LG,1,kolmogorov,strong,-0.030835716654757074,-0.038446331235228906,-0.023419158914899218,True,0.03189894383507029,0.026996950494390614,0.03903943545883994
LG01,LG,1,von_karman,weak,0.0004802166093499222,-0.0008050624635977699,0.001802834320105423,False,0.0022579673556924716,0.0005100689847621897,0.005291748525869073
LG01,LG,1,von_karman,moderate,-0.011206159678716411,-0.016502739200906714,-0.005709169644696675,True,0.018029255189347625,0.011794932502763226,0.02636609210103752
LG01,LG,1,von_karman,strong,-0.02522757885984525,-0.03196299749118818,-0.018537837348454416,True,0.035961020153606034,0.03135818189165352,0.04144448064224917
LG01,LG,1,modified_von_karman,weak,3.847789570729051e-05,-0.001260553687442318,0.0013690935384790168,False,0.001049567413554605,0.0004024400476614635,0.003989021169133785
LG01,LG,1,modified_von_karman,moderate,-0.010096234695646165,-0.015240649978826128,-0.004525887878466745,True,0.012352387853697813,0.007101479678966884,0.019728890438008077
LG01,LG,1,modified_von_karman,strong,-0.024798570427241633,-0.03184268855473953,-0.017918035319567042,True,0.03323265202470797,0.028570433767419662,0.03878041299409082
LG02,LG,2,kolmogorov,weak,0.0006467701819907302,-0.00149469302683832,0.0027747050885996286,False,0.0017965742354918196,0.0008530490352674953,0.005848538237338056
LG02,LG,2,kolmogorov,moderate,-0.011387439275328511,-0.01692631437010189,-0.005742018178944382,True,0.01453300615720281,0.008484964731847393,0.022429733368648775
LG02,LG,2,kolmogorov,strong,-0.03690338269184274,-0.04279368133710805,-0.030978907793837173,True,0.041919309283623786,0.03766211123871223,0.04685654495679368
LG02,LG,2,von_karman,weak,-0.0013342751078096588,-0.0030325550986094636,0.00034599099780543204,False,0.002064500194354342,0.0009792770359222766,0.005199403726841264
LG02,LG,2,von_karman,moderate,-0.007199432300054951,-0.012670201111492283,-0.001659519952459042,True,0.008129983697520726,0.004817067078019963,0.016472295593642505
LG02,LG,2,von_karman,strong,-0.031926537755224464,-0.03710515141025406,-0.02647245846148943,True,0.0340657077932588,0.030078187191705158,0.039034558446027205
LG02,LG,2,modified_von_karman,weak,-0.00013251880146582888,-0.0018837974354968647,0.001648438857954283,False,0.0008112701888719954,0.0006382749048149438,0.00506882085095015
LG02,LG,2,modified_von_karman,moderate,-0.005938149718257674,-0.011365830500809498,-0.0003696412215984089,True,0.009301693830070925,0.005207203939112122,0.016827708552910752
LG02,LG,2,modified_von_karman,strong,-0.029111309768617026,-0.03484900069444228,-0.023353973091276004,True,0.033430499013264885,0.02898590974859151,0.03912474368444008
LG03,LG,3,kolmogorov,weak,-0.0009417766080041826,-0.0033923428358289404,0.0015769094073344767,False,0.002401192899871484,0.0010870487710486082,0.007379730473392376
LG03,LG,3,kolmogorov,moderate,-0.014541257410847424,-0.02017674670446711,-0.009083627220744874,True,0.017830033344235555,0.011804039503802228,0.025963488601829364
LG03,LG,3,kolmogorov,strong,-0.03506004671811642,-0.040235016093703564,-0.029776671942839193,True,0.03869099830187204,0.03461359746497763,0.04347715834517989
LG03,LG,3,von_karman,weak,-0.0006597491151151734,-0.002879358067743733,0.0015760091587132918,False,0.0010185256600518512,0.0008017845586862962,0.0061823600488341585
