order,psd,regime,lg_beam,bg_beam,r_rms_lg_m,r_rms_bg_m,r_rms_bg_minus_lg_percent,metric,metric_lg,metric_bg,metric_bg_minus_lg_percent
1,kolmogorov,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.67776121350686,0.6699064169035029,-1.1589327401482499
1,kolmogorov,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,1.3090132715686913,1.315627682233015,0.5052974486956286
1,kolmogorov,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.1625880094515072,0.163622510453848,0.6362713989984367
1,kolmogorov,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.1924960603364056,0.1920786259347928,-0.21685347787548775
1,kolmogorov,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,4.226117318522357,4.2409252462721305,0.35039083474736016
1,kolmogorov,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.3830988319869291,0.3831968255380861,0.02557918296141275
1,kolmogorov,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.0460659841574026,0.0469086876029331,1.8293399369284415
1,kolmogorov,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,16.176775848391067,16.07935218074547,-0.6022440352679198
1,kolmogorov,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.6343128306086583,0.6323440214909913,-0.3103845646284289
1,von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.7222878404502875,0.7198272042596847,-0.34067252039972956
1,von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,1.272689138021749,1.275808742995004,0.24511916382848928
1,von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.1487480502867758,0.1494915718048317,0.49985295042351374
1,von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.2174102404600329,0.2159286486624597,-0.6814728664290177
1,von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,4.093442104838146,4.129263772437078,0.8750989187459975
1,von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.3708055235126309,0.371957283171033,0.3106101676942394
1,von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.0512510734545348,0.0497135695496768,-2.999944784028626
1,von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,15.378001558250077,15.456823478718942,0.5125628331503084
1,von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.6238354979949939,0.62479776590624,0.15425026538868378
1,modified_von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.7237132635755292,0.7239215431280803,0.028779291887243007
1,modified_von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,1.0185945781863393,1.018074822298555,-0.051026767559449765
1,modified_von_karman,weak,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.1473504175804845,0.1464635522008857,-0.6018750365022856
