family,psd,regime,order_initial,order_final,beam_initial,beam_final,r_rms_initial_m,r_rms_final_m,r_rms_change_percent,metric,metric_initial,metric_final,metric_change_percent
LG,kolmogorov,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.67776121350686,0.5791662406670641,-14.547154790644855
LG,kolmogorov,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,1.3090132715686913,1.5840787919721833,21.01319569310858
LG,kolmogorov,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.1625880094515072,0.1942068823328573,19.447235369949347
LG,kolmogorov,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.5791662406670641,0.5277183863597548,-8.883089291954148
LG,kolmogorov,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,1.5840787919721833,1.802341151356697,13.778503979134541
LG,kolmogorov,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.1942068823328573,0.2116554353082144,8.984518347527706
LG,kolmogorov,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.1924960603364056,0.1461687410397499,-24.066632436889467
LG,kolmogorov,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,4.226117318522357,5.055420028148731,19.623277044195635
LG,kolmogorov,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.3830988319869291,0.4154847917110154,8.453682710573032
LG,kolmogorov,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.1461687410397499,0.1189985841380904,-18.588212984793163
LG,kolmogorov,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,5.055420028148731,5.765970342130025,14.055218162386671
LG,kolmogorov,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.4154847917110154,0.4401802906356655,5.94377927118611
LG,kolmogorov,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.0460659841574026,0.0366582675657652,-20.422263333161904
LG,kolmogorov,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,16.176775848391067,18.22804769788284,12.680350328868474
LG,kolmogorov,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.6343128306086583,0.6611948235304003,4.237970859890572
LG,kolmogorov,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.0366582675657652,0.0308523653480779,-15.837906707597321
LG,kolmogorov,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,18.22804769788284,20.148839891107105,10.537564006085866
LG,kolmogorov,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.6611948235304003,0.6824696662753457,3.2176360110247035
LG,von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.7222878404502875,0.6416526826993793,-11.163853693098142
LG,von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,1.272689138021749,1.5382659052237186,20.867371243128428
LG,von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.1487480502867758,0.1776711560811618,19.44435959908334
LG,von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.6416526826993793,0.5787241345867721,-9.80726019064894
LG,von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,1.5382659052237186,1.7574059187853193,14.245912414585428
LG,von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.1776711560811618,0.1984341526266244,11.686194317313875
LG,von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.2174102404600329,0.1594015983336744,-26.681651243112622
LG,von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,4.093442104838146,4.928275598552637,20.394413120629697
LG,von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.3708055235126309,0.4070835767397427,9.783579511828941
LG,von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.1594015983336744,0.1325785550582832,-16.82733646073152
LG,von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,4.928275598552637,5.610547809183182,13.844035240864342
LG,von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.4070835767397427,0.4298621585166269,5.595554102013559
LG,von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.0512510734545348,0.0384760501240102,-24.92635269748528
LG,von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,15.378001558250077,17.567682701372718,14.239048779052235
LG,von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.6238354979949939,0.654051164437095,4.843531113444834
LG,von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.0384760501240102,0.0325111138667225,-15.502984942743392
LG,von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,17.567682701372718,19.363499981345,10.222277522304978
LG,von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.654051164437095,0.6746628226154355,3.1513831484544235
