beam,family,order,psd,metric,regime_initial,regime_final,initial_value,final_value,difference_final_minus_initial,relative_change_percent
LG01,LG,1,kolmogorov,retention,weak,moderate,0.67776121350686,0.1924960603364056,-0.48526515317045443,-71.59824780465145
LG01,LG,1,kolmogorov,spread,weak,moderate,1.3090132715686913,4.226117318522357,2.917104046953666,222.84755321524554
LG01,LG,1,kolmogorov,retention,moderate,strong,0.1924960603364056,0.04606598415740265,-0.14643007617900294,-76.06912885546964
LG01,LG,1,kolmogorov,spread,moderate,strong,4.226117318522357,16.176775848391067,11.95065852986871,282.78104058992864
LG01,LG,1,kolmogorov,retention,weak,strong,0.67776121350686,0.04606598415740265,-0.6316952293494573,-93.20321327934231
LG01,LG,1,kolmogorov,spread,weak,strong,1.3090132715686913,16.176775848391067,14.867762576822376,1135.7992237164406
LG01,LG,1,von_karman,retention,weak,moderate,0.7222878404502875,0.2174102404600329,-0.5048775999902546,-69.89977841458672
LG01,LG,1,von_karman,spread,weak,moderate,1.2726891380217493,4.093442104838146,2.8207529668163964,221.63723116242954
LG01,LG,1,von_karman,retention,moderate,strong,0.2174102404600329,0.05125107345453489,-0.16615916700549802,-76.42655960175136
LG01,LG,1,von_karman,spread,moderate,strong,4.093442104838146,15.378001558250075,11.28455945341193,275.67409442714273
LG01,LG,1,von_karman,retention,weak,strong,0.7222878404502875,0.05125107345453489,-0.6710367669957527,-92.90434220482183
LG01,LG,1,von_karman,spread,weak,strong,1.2726891380217493,15.378001558250075,14.105312420228326,1108.307755509993
LG01,LG,1,modified_von_karman,retention,weak,moderate,0.7237132635755292,0.22091215721686347,-0.5028011063586657,-69.47518190761909
LG01,LG,1,modified_von_karman,spread,weak,moderate,1.0185945781863393,3.2680678368061216,2.2494732586197825,220.84088280001322
LG01,LG,1,modified_von_karman,retention,moderate,strong,0.22091215721686347,0.05437427818915928,-0.1665378790277042,-75.38647086055046
LG01,LG,1,modified_von_karman,spread,moderate,strong,3.2680678368061216,11.9420452438669,8.673977407060779,265.4160758039174
LG01,LG,1,modified_von_karman,retention,weak,strong,0.7237132635755292,0.05437427818915928,-0.6693389853863699,-92.48676500406786
LG01,LG,1,modified_von_karman,spread,weak,strong,1.0185945781863393,11.9420452438669,10.92345066568056,1072.404163502454
LG02,LG,2,kolmogorov,retention,weak,moderate,0.5791662406670641,0.1461687410397499,-0.43299749962731426,-74.76221319954739
LG02,LG,2,kolmogorov,spread,weak,moderate,1.5840787919721833,5.055420028148731,3.471341236176548,219.1394300440521
LG02,LG,2,kolmogorov,retention,moderate,strong,0.1461687410397499,0.036658267565765235,-0.10951047347398465,-74.92058335797242
LG02,LG,2,kolmogorov,spread,moderate,strong,5.055420028148731,18.228047697882836,13.172627669734105,260.56445550297536
LG02,LG,2,kolmogorov,retention,weak,strong,0.5791662406670641,0.036658267565765235,-0.542507973101299,-93.67051029708786
LG02,LG,2,kolmogorov,spread,weak,strong,1.5840787919721833,18.228047697882836,16.643968905910654,1050.7033482336353
LG02,LG,2,von_karman,retention,weak,moderate,0.6416526826993793,0.15940159833367445,-0.4822510843657048,-75.1576510733057
LG02,LG,2,von_karman,spread,weak,moderate,1.5382659052237186,4.928275598552637,3.3900096933289183,220.37865376960886
LG02,LG,2,von_karman,retention,moderate,strong,0.15940159833367445,0.03847605012401027,-0.12092554820966418,-75.86219302301564
LG02,LG,2,von_karman,spread,moderate,strong,4.928275598552637,17.567682701372718,12.63940710282008,256.4671323684108
LG02,LG,2,von_karman,retention,weak,strong,0.6416526826993793,0.03847605012401027,-0.603176632575369,-94.00360176752558
LG02,LG,2,von_karman,spread,weak,strong,1.5382659052237186,17.567682701372718,16.029416796149,1042.0445998130442
LG02,LG,2,modified_von_karman,retention,weak,moderate,0.6485279124736117,0.1645885476695808,-0.48393936480403094,-74.62120835450119
LG02,LG,2,modified_von_karman,spread,weak,moderate,1.2441694676723625,3.9750419905819925,2.73087252290963,219.4936135202422
LG02,LG,2,modified_von_karman,retention,moderate,strong,0.1645885476695808,0.04112191877544178,-0.12346662889413904,-75.01532192993406
LG02,LG,2,modified_von_karman,spread,moderate,strong,3.9750419905819925,13.929620429810855,9.954578439228863,250.42700084210674
LG02,LG,2,modified_von_karman,retention,weak,strong,0.6485279124736117,0.04112191877544178,-0.6074059936981699,-93.65919060929933
LG02,LG,2,modified_von_karman,spread,weak,strong,1.2441694676723625,13.929620429810855,12.685450962138493,1019.5918877410564
LG03,LG,3,kolmogorov,retention,weak,moderate,0.5277183863597548,0.1189985841380904,-0.4087198022216644,-77.45036231180943
LG03,LG,3,kolmogorov,spread,weak,moderate,1.802341151356697,5.765970342130025,3.963629190773328,219.91559077424048
LG03,LG,3,kolmogorov,retention,moderate,strong,0.1189985841380904,0.03085236534807797,-0.08814621879001244,-74.07333408918906
LG03,LG,3,kolmogorov,spread,moderate,strong,5.765970342130025,20.148839891107105,14.38286954897708,249.44404316280023
LG03,LG,3,kolmogorov,retention,weak,strong,0.5277183863597548,0.03085236534807797,-0.4968660210116768,-94.15363077248452
LG03,LG,3,kolmogorov,spread,weak,strong,1.802341151356697,20.148839891107105,18.34649873975041,1017.9259751096644
LG03,LG,3,von_karman,retention,weak,moderate,0.5787241345867721,0.1325785550582832,-0.4461455795284889,-77.09123446995197
LG03,LG,3,von_karman,spread,weak,moderate,1.7574059187853193,5.610547809183182,3.853141890397863,219.2516736862404
LG03,LG,3,von_karman,retention,moderate,strong,0.1325785550582832,0.03251111386672254,-0.10006744119156066,-75.47784869700062
LG03,LG,3,von_karman,spread,moderate,strong,5.610547809183182,19.363499981344997,13.752952172161816,245.1267263002622
LG03,LG,3,von_karman,retention,weak,strong,0.5787241345867721,0.03251111386672254,-0.5462130207200495,-94.38227785507225
LG03,LG,3,von_karman,spread,weak,strong,1.7574059187853193,19.363499981344997,17.606094062559677,1001.822850052117
LG03,LG,3,modified_von_karman,retention,weak,moderate,0.5868052911498122,0.1363877283333409,-0.4504175628164713,-76.75758375216816
LG03,LG,3,modified_von_karman,spread,weak,moderate,1.441757521285322,4.581998260902133,3.1402407396168113,217.80644062930205
LG03,LG,3,modified_von_karman,retention,moderate,strong,0.1363877283333409,0.03430832897408705,-0.10207939935925384,-74.84500299745797
LG03,LG,3,modified_von_karman,spread,moderate,strong,4.581998260902133,15.58794885543482,11.005950594532688,240.19979859978744
LG03,LG,3,modified_von_karman,retention,weak,strong,0.5868052911498122,0.03430832897408705,-0.5524969621757251,-94.15337088953954
LG03,LG,3,modified_von_karman,spread,weak,strong,1.441757521285322,15.58794885543482,14.1461913341495,981.1768709580385
BG01,BG,1,kolmogorov,retention,weak,moderate,0.6699064169035029,0.1920786259347928,-0.47782779096871014,-71.32754350635503
BG01,BG,1,kolmogorov,spread,weak,moderate,1.315627682233015,4.2409252462721305,2.9252975640391154,222.34995535165447
BG01,BG,1,kolmogorov,retention,moderate,strong,0.1920786259347928,0.04690868760293316,-0.14516993833185965,-75.57839276773159
BG01,BG,1,kolmogorov,spread,moderate,strong,4.2409252462721305,16.07935218074547,11.83842693447334,279.14726732992017
BG01,BG,1,kolmogorov,retention,weak,strong,0.6699064169035029,0.04690868760293316,-0.6229977293005697,-92.99772529127898
BG01,BG,1,kolmogorov,spread,weak,strong,1.315627682233015,16.07935218074547,14.763724498512456,1122.1810469550157
BG01,BG,1,von_karman,retention,weak,moderate,0.7198272042596847,0.2159286486624597,-0.5038985555972251,-70.00271073603919
BG01,BG,1,von_karman,spread,weak,moderate,1.275808742995004,4.129263772437078,2.853455029442074,223.65852602197194
BG01,BG,1,von_karman,retention,moderate,strong,0.2159286486624597,0.04971356954967683,-0.16621507911278288,-76.97685329963362
BG01,BG,1,von_karman,spread,moderate,strong,4.129263772437078,15.456823478718942,11.327559706281864,274.3239553233088
BG01,BG,1,von_karman,retention,weak,strong,0.7198272042596847,0.04971356954967683,-0.6701136347100078,-93.09368008662503
BG01,BG,1,von_karman,spread,weak,strong,1.275808742995004,15.456823478718942,14.181014735723938,1111.531396346566
BG01,BG,1,modified_von_karman,retention,weak,moderate,0.7239215431280803,0.21080247410513384,-0.5131190690229465,-70.88048061199396
BG01,BG,1,modified_von_karman,spread,weak,moderate,1.018074822298555,3.277228062945486,2.2591532406469312,221.90444073121617
BG01,BG,1,modified_von_karman,retention,moderate,strong,0.21080247410513384,0.05267193601503571,-0.15813053809009814,-75.01360634469283
BG01,BG,1,modified_von_karman,spread,moderate,strong,3.277228062945486,11.994787149850218,8.717559086904732,266.00404120394415
BG01,BG,1,modified_von_karman,retention,weak,strong,0.7239215431280803,0.05267193601503571,-0.6712496071130446,-92.72408225517931
BG01,BG,1,modified_von_karman,spread,weak,strong,1.018074822298555,11.994787149850218,10.976712327551663,1078.1832618912065
BG02,BG,2,kolmogorov,retention,weak,moderate,0.578165173498747,0.14018993867153817,-0.4379752348272088,-75.75261446081514
BG02,BG,2,kolmogorov,spread,weak,moderate,1.5839041316126077,5.081766421294617,3.4978622896820095,220.83800527250085
BG02,BG,2,kolmogorov,retention,moderate,strong,0.14018993867153817,0.035798933562596835,-0.10439100510894134,-74.463978013092
BG02,BG,2,kolmogorov,spread,moderate,strong,5.081766421294617,18.247717614375613,13.165951193080996,259.0821793365086
BG02,BG,2,kolmogorov,retention,weak,strong,0.578165173498747,0.035798933562596835,-0.5423662399361502,-93.80818229746342
BG02,BG,2,kolmogorov,spread,weak,strong,1.5839041316126077,18.247717614375613,16.663813482763004,1052.0721014722783
BG02,BG,2,von_karman,retention,weak,moderate,0.6453704321616851,0.16012732671117627,-0.48524310545050886,-75.1883075623986
BG02,BG,2,von_karman,spread,weak,moderate,1.5342292566226117,4.916344700187742,3.38211544356513,220.44394141005876
BG02,BG,2,von_karman,retention,moderate,strong,0.16012732671117627,0.03836626203351563,-0.12176106467766064,-76.04015328207073
BG02,BG,2,von_karman,spread,moderate,strong,4.916344700187742,17.55466351100818,12.638318810820437,257.0673860670879
BG02,BG,2,von_karman,retention,weak,strong,0.6453704321616851,0.03836626203351563,-0.6070041701281694,-94.05515652382665
BG02,BG,2,von_karman,spread,weak,strong,1.5342292566226117,17.55466351100818,16.020434254385567,1044.2008054032474
BG02,BG,2,modified_von_karman,retention,weak,moderate,0.6498898608841126,0.16359044632686456,-0.486299414557248,-74.8279737578433
BG02,BG,2,modified_von_karman,spread,weak,moderate,1.2416729885665845,3.971341674494129,2.7296686859275443,219.83796950264144
BG02,BG,2,modified_von_karman,retention,moderate,strong,0.16359044632686456,0.04092098207009477,-0.12266946425676979,-74.98571402615289
BG02,BG,2,modified_von_karman,spread,moderate,strong,3.971341674494129,13.902848518065253,9.931506843571125,250.07938519508534
BG02,BG,2,modified_von_karman,retention,weak,strong,0.6498898608841126,0.04092098207009477,-0.6089688788140178,-93.70339737037507
BG02,BG,2,modified_von_karman,spread,weak,strong,1.2416729885665845,13.902848518065253,12.661175529498669,1019.6867972552916
BG03,BG,3,kolmogorov,retention,weak,moderate,0.5163286376005541,0.11269753854007693,-0.4036310990604772,-78.17329306702861
BG03,BG,3,kolmogorov,spread,weak,moderate,1.807697188157666,5.801543508776905,3.9938463206192387,220.93558294957631
BG03,BG,3,kolmogorov,retention,moderate,strong,0.11269753854007693,0.02983731645460112,-0.0828602220854758,-73.52442933437226
BG03,BG,3,kolmogorov,spread,moderate,strong,5.801543508776905,20.2088357515728,14.407292242795894,248.33550280196508
BG03,BG,3,kolmogorov,retention,weak,strong,0.5163286376005541,0.02983731645460112,-0.486491321145953,-94.22125478198168
BG03,BG,3,kolmogorov,spread,weak,strong,1.807697188157666,20.2088357515728,18.401138563415135,1017.9325765378244
BG03,BG,3,von_karman,retention,weak,moderate,0.5865381722024917,0.12976619679005053,-0.4567719754124412,-77.87591619096683
BG03,BG,3,von_karman,spread,weak,moderate,1.757002798088374,5.6185080202766216,3.8615052221882475,219.77797795140566
BG03,BG,3,von_karman,retention,moderate,strong,0.12976619679005053,0.03239050856405131,-0.09737568822599921,-75.03933276517604
BG03,BG,3,von_karman,spread,moderate,strong,5.6185080202766216,19.38831515849385,13.769807138217228,245.07942479610958
BG03,BG,3,von_karman,retention,weak,strong,0.5865381722024917,0.03239050856405131,-0.5541476636384404,-94.47768106167366
BG03,BG,3,von_karman,spread,weak,strong,1.757002798088374,19.38831515849385,17.631312360405474,1003.4880069393407
BG03,BG,3,modified_von_karman,retention,weak,moderate,0.5806526003476125,0.1324260898705772,-0.44822651047703527,-77.1935767115657
BG03,BG,3,modified_von_karman,spread,weak,moderate,1.4429553516494105,4.594121437277666,3.1511660856282555,218.38278516561354
BG03,BG,3,modified_von_karman,retention,moderate,strong,0.1324260898705772,0.03408863433661393,-0.09833745553396325,-74.25836980467407
BG03,BG,3,modified_von_karman,spread,moderate,strong,4.594121437277666,15.700942945268864,11.106821507991198,241.76160033272336
BG03,BG,3,modified_von_karman,retention,weak,strong,0.5806526003476125,0.03408863433661393,-0.5465639660109985,-94.12925485631057
BG03,BG,3,modified_von_karman,spread,weak,strong,1.4429553516494105,15.700942945268864,14.257987593619454,988.1101017658975
