beam,family,order,psd,regime,rho_wander_retention,p_wander_retention,rho_wander_spread,p_wander_spread,rho_wander_entropy,p_wander_entropy
LG01,LG,1,kolmogorov,weak,-0.6331748903661449,1.0150866726507867e-196,0.6048912749265971,3.8752106168589164e-175,0.6339950004415162,2.2229963204808117e-197
LG01,LG,1,kolmogorov,moderate,-0.46341456326073205,7.066443605895661e-94,0.6188266484331914,1.7015028289791096e-185,0.634630846433396,6.826376654252544e-198
LG01,LG,1,kolmogorov,strong,-0.3692462819229842,1.1860622883843946e-57,0.5954202510526767,2.186701656908538e-168,0.5781214797831071,1.2782969460755751e-156
LG01,LG,1,von_karman,weak,-0.6500641294203572,1.020818424060569e-210,0.5956074371196295,1.616322584095125e-168,0.6476366664702818,1.1904720188175306e-208
LG01,LG,1,von_karman,moderate,-0.45743579773996895,3.2121902674638914e-91,0.5567866388107975,4.810865715508228e-143,0.5931371296074593,8.587380299120838e-167
LG01,LG,1,von_karman,strong,-0.3115057325033296,1.0987472853398935e-40,0.5469690520248799,4.0249922117076356e-137,0.5349764974850372,3.781230373328832e-130
LG01,LG,1,modified_von_karman,weak,-0.6626151007489541,1.0299189170293457e-221,0.5950696107982403,3.849801536147711e-168,0.6587579168888825,2.8093553007202976e-218
LG01,LG,1,modified_von_karman,moderate,-0.4955588577451664,4.162914544853948e-109,0.5831717352397502,5.5511755600255486e-160,0.6142236646794473,5.12217149985887e-182
LG01,LG,1,modified_von_karman,strong,-0.3564998556500987,1.3590700538664326e-53,0.5711760370487352,4.322435879187682e-152,0.5611602748511685,9.538420986040222e-146
LG02,LG,2,kolmogorov,weak,-0.644912587493323,2.3584087167862656e-206,0.6053476193321672,1.808127067549587e-175,0.6446259800994455,4.1012574502333567e-206
LG02,LG,2,kolmogorov,moderate,-0.3773086881007961,2.571612693621657e-60,0.5659851300709462,8.926840333980525e-149,0.5863770682514042,3.798392329309029e-162
LG02,LG,2,kolmogorov,strong,-0.361512120843608,3.623037911066712e-55,0.5967474226580505,2.554226579358396e-169,0.5923856156127958,2.8561177147457627e-166
LG02,LG,2,von_karman,weak,-0.6400431412385768,2.6329654803155057e-202,0.5629352801654559,7.430729163980698e-147,0.6334566255485191,6.027619287417219e-197
LG02,LG,2,von_karman,moderate,-0.3782532097386574,1.2392305194915417e-60,0.5783420167647402,9.141830746273197e-157,0.6066042871710792,2.2017308168207167e-176
LG02,LG,2,von_karman,strong,-0.32807650446812975,3.444382775825005e-45,0.4995576648818031,4.0599680379128744e-111,0.5089434362497518,6.058244712550477e-116
LG02,LG,2,modified_von_karman,weak,-0.612313495799159,1.3683310334156846e-180,0.5391535456128196,1.5166173516981823e-132,0.6055462336011025,1.2970937146569062e-175
LG02,LG,2,modified_von_karman,moderate,-0.3837070437294137,1.7449651183295233e-62,0.542623041602859,1.459877035032322e-134,0.570516365136539,1.1489145554500533e-151
LG02,LG,2,modified_von_karman,strong,-0.2981293131617582,2.9668707759141823e-37,0.5357131261570558,1.4368229116280874e-130,0.5322118577951255,1.3981485271337321e-128
LG03,LG,3,kolmogorov,weak,-0.626117630825582,3.9880156115710294e-191,0.587245942984098,9.741162353847632e-163,0.6247958598517094,4.2908016211673193e-190
LG03,LG,3,kolmogorov,moderate,-0.3483308429768351,4.3520512787014727e-51,0.6118325306042083,3.1181219549585454e-180,0.6273750062099145,4.117270759557241e-192
LG03,LG,3,kolmogorov,strong,-0.37870164351773783,8.754987604179425e-61,0.6070422242003765,1.0546753613778182e-176,0.5988429169399613,8.432582986477917e-171
LG03,LG,3,von_karman,weak,-0.6167841730373976,6.046804545037552e-184,0.5479055645172689,1.117561749056503e-137,0.609966442251433,7.514726350581108e-179
LG03,LG,3,von_karman,moderate,-0.3225673207216907,1.1642090663475574e-43,0.55385875988391,2.9456899569827595e-141,0.5839016601428162,1.7928227239276014e-160
LG03,LG,3,von_karman,strong,-0.27611969104782913,5.424961100649338e-32,0.5230072135766994,1.8292762730085514e-123,0.5297390559614411,3.433112568578411e-127
LG03,LG,3,modified_von_karman,weak,-0.6096070718716969,1.3835776051741913e-178,0.5475363914987634,1.8528988348711337e-137,0.6042411839854596,1.1454949040267754e-174
LG03,LG,3,modified_von_karman,moderate,-0.3111913449954246,1.3292792689628185e-40,0.5458486583295912,1.854439438154616e-136,0.5668744452534632,2.4375573100735275e-149
LG03,LG,3,modified_von_karman,strong,-0.2675565554237149,4.5295070499040245e-30,0.5352579371104634,2.6133709075211655e-130,0.5302426245456968,1.792797121907678e-127
BG01,BG,1,kolmogorov,weak,-0.6864786642729166,3.6510035582617386e-244,0.6414697767131632,1.746416057983168e-203,0.6839174103053935,1.1895757948879233e-241
BG01,BG,1,kolmogorov,moderate,-0.49876123742640993,1.0260181400202389e-110,0.5998514736774492,1.618448005300786e-171,0.6163580761985555,1.2693731732127145e-183
BG01,BG,1,kolmogorov,strong,-0.38400121245520635,1.3833181783624684e-62,0.6253593414117966,1.5605946005234296e-190,0.6017418424813014,7.220290031724143e-173
BG01,BG,1,von_karman,weak,-0.6499343575295862,1.3180089648889435e-210,0.5806263988051215,2.7946248167399277e-158,0.645432850566995,8.624971537248144e-207
BG01,BG,1,von_karman,moderate,-0.4847655031304267,8.233035139270455e-104,0.5988505342485709,8.328292354375294e-171,0.6292945254372795,1.2599990708988266e-193
BG01,BG,1,von_karman,strong,-0.3139731874431399,2.444503581145068e-41,0.5513721295675758,9.396143449849428e-140,0.5413035499999931,8.590511799491626e-134
BG01,BG,1,modified_von_karman,weak,-0.63593076634474,6.055793134756662e-199,0.5758270040251442,4.119794382402045e-155,0.6307204981478012,9.301454095781304e-195
BG01,BG,1,modified_von_karman,moderate,-0.47481292742579556,4.3030663715196515e-99,0.6118284935649893,3.1397343265367373e-180,0.627603426949224,2.7225386466049033e-192
BG01,BG,1,modified_von_karman,strong,-0.3488477899911151,3.0362212960659994e-51,0.5432797221204924,6.025238006136032e-135,0.529929712583463,2.684827392667249e-127
BG02,BG,2,kolmogorov,weak,-0.6388641018798233,2.45204783815223e-201,0.6076375184355746,3.8709635119001666e-177,0.6389449031190354,2.104999071257018e-201
BG02,BG,2,kolmogorov,moderate,-0.3998650838509895,3.5176780876450706e-68,0.5775310398468702,3.132520159294617e-156,0.5943772843214458,1.1737464152305558e-167
BG02,BG,2,kolmogorov,strong,-0.35358721134043053,1.0840626180870042e-52,0.5872206683869238,1.0135082899102924e-162,0.5777157226360378,2.367132817385854e-156
BG02,BG,2,von_karman,weak,-0.6301576323313552,2.6062458924030153e-194,0.5698786405667865,2.94990034594032e-151,0.6261944711538797,3.472335086837511e-191
BG02,BG,2,von_karman,moderate,-0.36065880987109833,6.746325479482995e-55,0.5399495028639777,5.2520321492853774e-133,0.581069293130498,1.4166481646502996e-158
BG02,BG,2,von_karman,strong,-0.2946586953987577,2.1549859118899304e-36,0.47851963921340984,7.847545799967277e-101,0.4790253416292661,4.5270389457233845e-101
BG02,BG,2,modified_von_karman,weak,-0.619210429129936,8.67317275946513e-186,0.5442296063257023,1.6692304646946556e-135,0.614243659554781,4.948433767029053e-182
BG02,BG,2,modified_von_karman,moderate,-0.3511587609614613,6.021924480018782e-52,0.5426371723596597,1.432368587543292e-134,0.5720694071830134,1.1461066258912684e-152
BG02,BG,2,modified_von_karman,strong,-0.3154344053196892,9.970755228939197e-42,0.5630625062361537,6.18476978293034e-147,0.5458078557973173,1.9603188547283703e-136
BG03,BG,3,kolmogorov,weak,-0.6347256104993249,5.723595690550096e-198,0.5882302752472036,2.074537809063803e-163,0.6334937694440297,5.627109454666485e-197
BG03,BG,3,kolmogorov,moderate,-0.3586382840568158,2.918091579452137e-54,0.5855108065108173,1.469033629409321e-161,0.5975278967554649,7.191571709095509e-170
BG03,BG,3,kolmogorov,strong,-0.337427899428352,7.389161405926579e-48,0.5431194518874012,7.479210853501964e-135,0.5356575278648489,1.5458135984695212e-130
BG03,BG,3,von_karman,weak,-0.6331283199952532,1.1063612874541484e-196,0.5403679376128543,3.004147345436692e-133,0.6219704115588516,6.629902046392008e-188
BG03,BG,3,von_karman,moderate,-0.31032271656018734,2.2471846884501306e-40,0.5406484480251493,2.0648628633398627e-133,0.5561966780350669,1.1059234008309495e-142
BG03,BG,3,von_karman,strong,-0.2444848807647424,3.1188118064692513e-25,0.48971469154532205,3.2404828073919365e-106,0.5000870969380609,2.1891666127766878e-111
BG03,BG,3,modified_von_karman,weak,-0.6415389885375123,1.5304672996270652e-203,0.5508735160403319,1.8748078709906687e-139,0.6352363933599885,2.2118383512923347e-198
BG03,BG,3,modified_von_karman,moderate,-0.3274300184261285,5.226031793556556e-45,0.5505309700159436,3.0113906071261686e-139,0.5696493756989214,4.1382077347007916e-151
BG03,BG,3,modified_von_karman,strong,-0.3007701839016344,6.442285813648582e-38,0.5146188842137465,6.166115781471429e-119,0.5056090097848662,3.267371562241543e-114
